TestNumber,Time Taken, Swaps
0,33641,500499

1,16279,500499

2,19774,500499

3,20175,500499

4,21202,500499

5,17234,500499

6,7331,500499

7,5725,500499

8,5520,500499

9,6725,500499

10,5546,500499

11,5523,500499

12,8079,500499

13,11119,500499

14,10574,500499

15,10028,500499

16,5373,500499

17,5383,500499

18,5299,500499

19,5237,500499

20,5526,500499

21,5316,500499

22,5200,500499

23,5185,500499

24,5418,500499

25,5155,500499

26,5185,500499

27,5196,500499

28,8340,500499

29,10145,500499

30,10450,500499

31,10589,500499

32,10283,500499

33,10517,500499

34,10048,500499

35,5320,500499

36,5518,500499

37,5174,500499

38,5200,500499

39,5261,500499

